phase,step,sim_time_s,commanded_hand_xyz_m,commanded_orientation_wxyz,gripper_closed,measured_hand_xyz_m,measured_orientation_wxyz,measured_joint_positions
left_crown_b:open_settle,22785,379.76666666666665,"[0.11796319484710693, 0.13710467517375946, 0.922091543674469]","[0.0, 0.7148684975829638, 0.6992589156839376, 0.0]",False,"[[0.1175597533583641, 0.13697108626365662, 0.9212940335273743]]","[[-0.0003016595437657088, 0.7147746682167053, 0.6993520855903625, -0.0019602980464696884]]","[[0.9289138913154602, 0.7838190793991089, -0.6539804935455322, -2.032508611679077, 0.8351746201515198, 2.524869203567505, -1.0674084424972534, 0.03999358043074608, 0.03999420627951622]]"
left_crown_b:close,22845,380.76666666666665,"[0.1175597533583641, 0.13697108626365662, 0.9212940335273743]","[0.0, 0.7148684975829638, 0.6992589156839376, 0.0]",True,"[[0.11719544231891632, 0.1368006467819214, 0.9205102920532227]]","[[2.68066069111228e-05, 0.7147897481918335, 0.6993376016616821, -0.0016296872636303306]]","[[0.9287267327308655, 0.7850176692008972, -0.6529903411865234, -2.0332932472229004, 0.8380318284034729, 2.52734112739563, -1.0695198774337769, 0.02683575078845024, 0.026854218915104866]]"
left_crown_b:lift,22995,383.26666666666665,"[0.11843621730804443, 0.13725890219211578, 1.18]","[0.0, 0.7148684975829638, 0.6992589156839376, 0.0]",True,"[[0.1181439533829689, 0.1375897377729416, 1.1782892942428589]]","[[-9.217020124197006e-05, 0.7145271301269531, 0.6996059417724609, -0.0016130924923345447]]","[[1.3171675205230713, 0.30251744389533997, -1.1407103538513184, -2.029195547103882, 0.32351505756378174, 2.1314313411712646, -0.7471756339073181, 0.026842467486858368, 0.02684752829372883]]"
left_crown_b:traverse,23175,386.26666666666665,"[0.28, -0.13, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.2796775698661804, -0.12936659157276154, 1.1783504486083984]]","[[-0.0016908084508031607, 0.7070878744125366, 0.7071213126182556, -0.001880244817584753]]","[[0.3834969699382782, 0.8243898153305054, -0.8771997690200806, -1.2489612102508545, 0.6163216829299927, 1.798954725265503, -1.248896837234497, 0.026842139661312103, 0.026848677545785904]]"
left_crown_b:lower,23325,388.76666666666665,"[0.28058460235595706, -0.13056324899196625, 1.057008602142334]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.2802736759185791, -0.13044951856136322, 1.0558079481124878]]","[[-0.001788673922419548, 0.7071281671524048, 0.707080602645874, -0.0019179651280865073]]","[[0.3739528954029083, 0.952099084854126, -0.8042411804199219, -1.3513401746749878, 0.702366828918457, 2.0055789947509766, -1.299615502357483, 0.02684192731976509, 0.026849159970879555]]"
left_crown_b:pre_release,23343,389.06666666666666,"[0.2802736759185791, -0.13044951856136322, 1.0558079481124878]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.2800453007221222, -0.1303672194480896, 1.0545611381530762]]","[[-0.0017462014220654964, 0.7071187496185303, 0.7070901393890381, -0.0018984448397532105]]","[[0.37437400221824646, 0.953067421913147, -0.8036337494850159, -1.3531728982925415, 0.7034239172935486, 2.0080621242523193, -1.3003885746002197, 0.026853041723370552, 0.026850467547774315]]"
left_crown_b:release,23379,389.6666666666667,"[0.2800453007221222, -0.1303672194480896, 1.0545611381530762]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2797606885433197, -0.13026508688926697, 1.0530093908309937]]","[[-0.001729999901726842, 0.7071189880371094, 0.7070900797843933, -0.0018702531233429909]]","[[0.3749223053455353, 0.9543470144271851, -0.8029733300209045, -1.3553775548934937, 0.7048727869987488, 2.011009931564331, -1.3013650178909302, 0.03932713717222214, 0.039327140897512436]]"
left_crown_b:retreat,23499,391.6666666666667,"[0.28058460235595706, -0.13056324899196625, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2805473208427429, -0.13039308786392212, 1.1771843433380127]]","[[-0.0016861363546922803, 0.7070966958999634, 0.7071126103401184, -0.0018278657225891948]]","[[0.3801560401916504, 0.8298890590667725, -0.8778045773506165, -1.2434587478637695, 0.6201942563056946, 1.7978345155715942, -1.2504006624221802, 0.03999948501586914, 0.039999447762966156]]"
left_crown_b:settle,23535,392.26666666666665,"[0.2805473208427429, -0.13039308786392212, 1.1771843433380127]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2805362641811371, -0.130231574177742, 1.17564857006073]]","[[-0.0017038126243278384, 0.7070887684822083, 0.7071205377578735, -0.0018292457098141313]]","[[0.38108232617378235, 0.8309665322303772, -0.8775150775909424, -1.2461192607879639, 0.6212504506111145, 1.8008356094360352, -1.2510489225387573, 0.03999948874115944, 0.03999946266412735]]"
right_crown_a:clear,23625,393.76666666666665,"[0.2805362641811371, -0.130231574177742, 1.18]","[0.0, 0.7079865836967352, 0.7062258826363035, 0.0]",False,"[[0.2805287837982178, -0.13006041944026947, 1.17827570438385]]","[[-0.001705670147202909, 0.707942545413971, 0.7062656879425049, -0.0018304599216207862]]","[[0.3811844289302826, 0.8294926881790161, -0.8796645998954773, -1.2421303987503052, 0.6206584572792053, 1.7954225540161133, -1.2475910186767578, 0.039999522268772125, 0.03999948874115944]]"
right_crown_a:hover,23805,396.76666666666665,"[0.11901669949293137, 0.2679016888141632, 1.18]","[0.0, 0.7079865836967352, 0.7062258826363035, 0.0]",False,"[[0.11905433237552643, 0.26736652851104736, 1.1791006326675415]]","[[7.438344619004056e-05, 0.7077894806861877, 0.7064211368560791, -0.001831877394579351]]","[[1.3438725471496582, 0.4542531967163086, -1.0163261890411377, -1.8418577909469604, 0.4319337010383606, 2.049485683441162, -0.6175172328948975, 0.03999875485897064, 0.039998993277549744]]"
right_crown_a:descend,23955,399.26666666666665,"[0.11901669949293137, 0.2679016888141632, 0.9219999251365661]","[0.0, 0.7079865836967352, 0.7062258826363035, 0.0]",False,"[[0.11854422092437744, 0.26764240860939026, 0.9218883514404297]]","[[-1.9462895579636097e-05, 0.7079260349273682, 0.7062832713127136, -0.002179222647100687]]","[[1.0866113901138306, 0.8739378452301025, -0.6583331823348999, -1.858079195022583, 0.8084069490432739, 2.4367055892944336, -0.8327715396881104, 0.03999550640583038, 0.039995983242988586]]"
right_crown_a:open_settle,23979,399.6666666666667,"[0.11854422092437744, 0.26764240860939026, 0.9218883514404297]","[0.0, 0.7079865836967352, 0.7062258826363035, 0.0]",False,"[[0.11813984811306, 0.2674194872379303, 0.9209189414978027]]","[[-2.233846862509381e-05, 0.7079156041145325, 0.7062937617301941, -0.002172972308471799]]","[[1.086226463317871, 0.874982476234436, -0.6571018695831299, -1.8590048551559448, 0.810068666934967, 2.438643455505371, -0.8340941071510315, 0.039995227009058, 0.039995625615119934]]"
right_crown_a:close,24039,400.6666666666667,"[0.11813984811306, 0.2674194872379303, 0.9209189414978027]","[0.0, 0.7079865836967352, 0.7062258826363035, 0.0]",True,"[[0.11779206246137619, 0.2671741545200348, 0.9199732542037964]]","[[0.0003185661626048386, 0.707923173904419, 0.7062873244285583, -0.001725178910419345]]","[[1.0862033367156982, 0.8762671947479248, -0.6561645269393921, -1.860053539276123, 0.8126323223114014, 2.441662311553955, -0.8359432816505432, 0.02685091271996498, 0.026856152340769768]]"
right_crown_a:lift,24189,403.1666666666667,"[0.11901669949293137, 0.2679016888141632, 1.18]","[0.0, 0.7079865836967352, 0.7062258826363035, 0.0]",True,"[[0.1187523826956749, 0.2680448591709137, 1.1780444383621216]]","[[0.00016156380297616124, 0.7078254818916321, 0.7063847780227661, -0.0019171173917129636]]","[[1.3465980291366577, 0.4573773145675659, -1.0183008909225464, -1.8427292108535767, 0.4354840815067291, 2.0506234169006348, -0.6184329390525818, 0.026841603219509125, 0.026846637949347496]]"
right_crown_a:traverse,24369,406.1666666666667,"[0.28, 0.13, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.27962979674339294, 0.1303972452878952, 1.1783391237258911]]","[[-0.0009500908781774342, 0.7070707678794861, 0.7071382403373718, -0.002375357085838914]]","[[0.7325577735900879, 0.8179848790168762, -0.8619177937507629, -1.248996615409851, 0.6037657260894775, 1.8029706478118896, -0.8865626454353333, 0.02684185840189457, 0.026846520602703094]]"
right_crown_a:lower,24519,408.6666666666667,"[0.28054028630256655, 0.12934206902980805, 1.0565770645141601]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.2802077829837799, 0.12934927642345428, 1.0553710460662842]]","[[-0.001014952315017581, 0.7071090936660767, 0.7070996165275574, -0.002437002258375287]]","[[0.7234312891960144, 0.9449113607406616, -0.7899333834648132, -1.3542155027389526, 0.6889322400093079, 2.0121583938598633, -0.9377502799034119, 0.026841888204216957, 0.026846596971154213]]"
right_crown_a:pre_release,24537,408.9666666666667,"[0.2802077829837799, 0.12934927642345428, 1.0553710460662842]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.2799645662307739, 0.12934251129627228, 1.0541244745254517]]","[[-0.000983776175417006, 0.7071133255958557, 0.7070955634117126, -0.0023904242552816868]]","[[0.7238370180130005, 0.9458696246147156, -0.7893304228782654, -1.3560595512390137, 0.6900032758712769, 2.0146734714508057, -0.9384978413581848, 0.026848474517464638, 0.02684587612748146]]"
right_crown_a:release,24573,409.56666666666666,"[0.2799645662307739, 0.12934251129627228, 1.0541244745254517]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.27965953946113586, 0.1293383240699768, 1.0525692701339722]]","[[-0.0009753695921972394, 0.7071163654327393, 0.7070925831794739, -0.0023624387104064226]]","[[0.7243767380714417, 0.9471455812454224, -0.7886783480644226, -1.3582741022109985, 0.6914331912994385, 2.0176467895507812, -0.9394571781158447, 0.03932692110538483, 0.03932694345712662]]"
right_crown_a:retreat,24693,411.56666666666666,"[0.28054028630256655, 0.12934206902980805, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.28044426441192627, 0.1294885277748108, 1.1771762371063232]]","[[-0.0009475291008129716, 0.7070946097373962, 0.7071145176887512, -0.002310474868863821]]","[[0.7303601503372192, 0.8220005035400391, -0.862873911857605, -1.2463228702545166, 0.6070308089256287, 1.8030472993850708, -0.8886259198188782, 0.039999641478061676, 0.039999693632125854]]"
right_crown_a:settle,24729,412.1666666666667,"[0.28044426441192627, 0.1294885277748108, 1.1771762371063232]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.28037604689598083, 0.12963591516017914, 1.1756365299224854]]","[[-0.0009632157161831856, 0.7070867419242859, 0.7071224451065063, -0.002317866776138544]]","[[0.7312756776809692, 0.8230634927749634, -0.8625869154930115, -1.2489968538284302, 0.6080723404884338, 1.806075930595398, -0.8892647624015808, 0.039999645203351974, 0.03999970108270645]]"
right_crown_b:clear,24819,413.6666666666667,"[0.28037604689598083, 0.12963591516017914, 1.18]","[0.0, 0.7149809929850691, 0.6991438905333326, 0.0]",False,"[[0.2803080081939697, 0.12979333102703094, 1.1782723665237427]]","[[-0.0009428496705368161, 0.714752197265625, 0.6993733048439026, -0.002326670801267028]]","[[0.7327985167503357, 0.8228356838226318, -0.867498517036438, -1.244825005531311, 0.609816312789917, 1.7998287677764893, -0.8673776388168335, 0.03999964892864227, 0.03999970480799675]]"
right_crown_b:hover,24999,416.6666666666667,"[0.12177794426679611, 0.40338385105133057, 1.18]","[0.0, 0.7149809929850691, 0.6991438905333326, 0.0]",False,"[[0.1218591257929802, 0.4030317962169647, 1.1786483526229858]]","[[0.00026742430054582655, 0.7148855924606323, 0.6992377638816833, -0.002267285715788603]]","[[1.2933940887451172, 0.6766246557235718, -0.8933287858963013, -1.4949818849563599, 0.5410772562026978, 1.9056947231292725, -0.4369884431362152, 0.039999090135097504, 0.03999926522374153]]"
right_crown_b:descend,25149,419.1666666666667,"[0.12177794426679611, 0.40338385105133057, 0.9219999251365661]","[0.0, 0.7149809929850691, 0.6991438905333326, 0.0]",False,"[[0.12132016569375992, 0.4030021131038666, 0.9215211272239685]]","[[0.00021754048066213727, 0.7149885892868042, 0.6991317272186279, -0.0024750526063144207]]","[[1.164772868156433, 1.0375200510025024, -0.6628387570381165, -1.531853199005127, 0.77718186378479, 2.2856578826904297, -0.5518189668655396, 0.039996638894081116, 0.03999689593911171]]"
right_crown_b:open_settle,25173,419.56666666666666,"[0.12132016569375992, 0.4030021131038666, 0.9215211272239685]","[0.0, 0.7149809929850691, 0.6991438905333326, 0.0]",False,"[[0.1209271252155304, 0.40267252922058105, 0.9202407002449036]]","[[0.00021331410971470177, 0.7149839401245117, 0.6991365551948547, -0.002466088393703103]]","[[1.1647496223449707, 1.0387638807296753, -0.6617861390113831, -1.5332039594650269, 0.7786818146705627, 2.28808856010437, -0.5530183911323547, 0.03999645262956619, 0.039996642619371414]]"
right_crown_b:close,25233,420.56666666666666,"[0.1209271252155304, 0.40267252922058105, 0.9202407002449036]","[0.0, 0.7149809929850691, 0.6991438905333326, 0.0]",True,"[[0.12061013281345367, 0.402346670627594, 0.9190089106559753]]","[[0.0006020641303621233, 0.7150287628173828, 0.6990922689437866, -0.0018791077891364694]]","[[1.1649423837661743, 1.040069580078125, -0.6608389019966125, -1.5348161458969116, 0.7804303765296936, 2.2920610904693604, -0.5542197823524475, 0.026862740516662598, 0.02685139887034893]]"
right_crown_b:lift,25383,423.06666666666666,"[0.12177794426679611, 0.40338385105133057, 1.18]","[0.0, 0.7149809929850691, 0.6991438905333326, 0.0]",True,"[[0.12155761569738388, 0.4034869074821472, 1.177587866783142]]","[[0.00034911418333649635, 0.7148886322975159, 0.6992343664169312, -0.0023483240511268377]]","[[1.2952494621276855, 0.6786358952522278, -0.8946437239646912, -1.4960479736328125, 0.5432921051979065, 1.9069914817810059, -0.4374040365219116, 0.026842350140213966, 0.026849297806620598]]"
right_crown_b:traverse,25563,426.06666666666666,"[0.28, 0.16999999999999998, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.27963942289352417, 0.17054691910743713, 1.1782764196395874]]","[[-0.0008645717753097415, 0.7070972919464111, 0.7071114778518677, -0.0024770561140030622]]","[[0.7571961283683777, 0.848475456237793, -0.8534006476402283, -1.1894299983978271, 0.6143196821212769, 1.7795277833938599, -0.8251931667327881, 0.02684314176440239, 0.026848936453461647]]"
right_crown_b:lower,25713,428.56666666666666,"[0.28055164098739627, 0.16900686740875243, 1.055789210319519]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.2802203297615051, 0.16898904740810394, 1.0545326471328735]]","[[-0.0009312044712714851, 0.7071197032928467, 0.7070887684822083, -0.002524013863876462]]","[[0.7552422285079956, 0.9720309376716614, -0.7863683700561523, -1.3022865056991577, 0.694149911403656, 1.9919804334640503, -0.8759877681732178, 0.026843177154660225, 0.026848940178751945]]"
right_crown_b:pre_release,25731,428.8666666666667,"[0.2802203297615051, 0.16898904740810394, 1.0545326471328735]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.2799849510192871, 0.16897429525852203, 1.0532582998275757]]","[[-0.0008878225344233215, 0.7071137428283691, 0.7070950269699097, -0.0024549653753638268]]","[[0.7557023167610168, 0.9729803800582886, -0.7857667803764343, -1.304220199584961, 0.6951842308044434, 1.9946198463439941, -0.8767582774162292, 0.026782939210534096, 0.02682604268193245]]"
right_crown_b:release,25767,429.4666666666667,"[0.2799849510192871, 0.16897429525852203, 1.0532582998275757]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2796829342842102, 0.16894464194774628, 1.0516538619995117]]","[[-0.0008929372997954488, 0.7071279287338257, 0.7070809602737427, -0.002433441812172532]]","[[0.7562994956970215, 0.9742662310600281, -0.7851424813270569, -1.3065418004989624, 0.6965903639793396, 1.9976569414138794, -0.8777056336402893, 0.039323631674051285, 0.03932366147637367]]"
right_crown_b:retreat,25887,431.4666666666667,"[0.28055164098739627, 0.16900686740875243, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2804594337940216, 0.16913804411888123, 1.177108883857727]]","[[-0.0008796214824542403, 0.7071084380149841, 0.7071006298065186, -0.0023860756773501635]]","[[0.7548155784606934, 0.8518428206443787, -0.854522168636322, -1.187835931777954, 0.6173322200775146, 1.7800854444503784, -0.8280168771743774, 0.03999966010451317, 0.03999972715973854]]"
right_crown_b:settle,25923,432.06666666666666,"[0.2804594337940216, 0.16913804411888123, 1.177108883857727]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2803957462310791, 0.16927282512187958, 1.1755133867263794]]","[[-0.0008975421078503132, 0.7071002721786499, 0.7071086764335632, -0.0023947113659232855]]","[[0.7558262944221497, 0.8528940081596375, -0.8542719483375549, -1.1907012462615967, 0.618340015411377, 1.7832483053207397, -0.8286988735198975, 0.03999966382980347, 0.03999973461031914]]"
park,26170,436.18333333333334,"[-0.1, -0.3, 1.2]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[-0.09779471158981323, -0.2968015670776367, 1.1992253065109253]]","[[-0.0017511521000415087, 0.7062591314315796, 0.707951009273529, -0.0006692674942314625]]","[[1.608467936515808, 0.34687989950180054, -2.3557393550872803, -2.4184632301330566, 0.28895992040634155, 2.1452205181121826, -1.7267600297927856, 0.03998497128486633, 0.03998474404215813]]"
final_settle,26410,440.18333333333334,"[-0.09779471158981323, -0.2968015670776367, 1.1992253065109253]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[-0.09789767116308212, -0.29662421345710754, 1.1987277269363403]]","[[-0.0011501336703076959, 0.7070032358169556, 0.7072094082832336, 0.00019569287542253733]]","[[1.609344244003296, 0.3469231426715851, -2.3562111854553223, -2.420257568359375, 0.2914271652698517, 2.1477339267730713, -1.7260023355484009, 0.039986010640859604, 0.039985790848731995]]"
